Year,Country,alpha_3,Region,Latitude,Longitude,Neuschnee
1992,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,6.0
1993,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,17.0
1994,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,11.0
1995,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,68.0
1996,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,37.0
1997,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,23.0
1998,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,34.0
1999,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,76.0
2000,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,13.0
2001,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,21.0
2002,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,14.0
2003,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,38.0
2004,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,44.0
2005,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,80.0
2006,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,50.0
2007,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,9.0
2008,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,67.0
2009,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,53.0
2010,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,87.0
2011,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,14.0
2012,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,28.0
2013,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,37.0
2014,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,6.0
2015,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,21.0
2016,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,18.0
2017,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,44.0
2018,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,27.0
2019,Switzerland,CHE,Neuenburg,48.84655,8.588410000000001,23.0
1931,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1343.0
1932,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1875.0
1933,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1996.0
1934,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1214.0
1935,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1748.0
1936,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1334.0
1937,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1122.0
1938,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1075.0
1939,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1531.0
1940,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1257.0
1941,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1096.0
1942,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1113.0
1943,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1096.0
1944,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1195.0
1945,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1272.0
1946,Switzerland,CHE,Säntis,47.256459,9.317421000000001,949.0
1947,Switzerland,CHE,Säntis,47.256459,9.317421000000001,757.0
1948,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1254.0
1949,Switzerland,CHE,Säntis,47.256459,9.317421000000001,988.0
1950,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1300.0
1951,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1398.0
1952,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1819.0
1953,Switzerland,CHE,Säntis,47.256459,9.317421000000001,909.0
1954,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1392.0
1955,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1578.0
1956,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1490.0
1957,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1291.0
1958,Switzerland,CHE,Säntis,47.256459,9.317421000000001,2684.0
1959,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1366.0
1960,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1594.0
1961,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1572.0
1962,Switzerland,CHE,Säntis,47.256459,9.317421000000001,2224.0
1963,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1175.0
1964,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1463.0
1965,Switzerland,CHE,Säntis,47.256459,9.317421000000001,2469.0
1966,Switzerland,CHE,Säntis,47.256459,9.317421000000001,2048.0
1967,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1656.0
1968,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1558.0
1969,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1524.0
1970,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1800.0
1971,Switzerland,CHE,Säntis,47.256459,9.317421000000001,835.0
1972,Switzerland,CHE,Säntis,47.256459,9.317421000000001,909.0
1973,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1657.0
1974,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1310.0
1975,Switzerland,CHE,Säntis,47.256459,9.317421000000001,922.0
1976,Switzerland,CHE,Säntis,47.256459,9.317421000000001,953.0
1977,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1154.0
1978,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1327.0
1979,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1401.0
1980,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1545.0
1981,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1494.0
1982,Switzerland,CHE,Säntis,47.256459,9.317421000000001,883.0
1983,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1068.0
1984,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1162.0
1985,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1103.0
1986,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1235.0
1987,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1051.0
1988,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1584.0
1989,Switzerland,CHE,Säntis,47.256459,9.317421000000001,795.0
1990,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1131.0
1991,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1178.0
1992,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1118.0
1993,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1085.0
1994,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1037.0
1995,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1702.0
1996,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1174.0
1997,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1075.0
1998,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1336.0
1999,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1534.0
2000,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1251.0
2001,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1371.0
2002,Switzerland,CHE,Säntis,47.256459,9.317421000000001,976.0
2003,Switzerland,CHE,Säntis,47.256459,9.317421000000001,920.0
2004,Switzerland,CHE,Säntis,47.256459,9.317421000000001,942.0
2005,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1118.0
2006,Switzerland,CHE,Säntis,47.256459,9.317421000000001,655.0
2007,Switzerland,CHE,Säntis,47.256459,9.317421000000001,948.0
2008,Switzerland,CHE,Säntis,47.256459,9.317421000000001,879.0
2009,Switzerland,CHE,Säntis,47.256459,9.317421000000001,879.0
2010,Switzerland,CHE,Säntis,47.256459,9.317421000000001,748.0
2011,Switzerland,CHE,Säntis,47.256459,9.317421000000001,703.0
2012,Switzerland,CHE,Säntis,47.256459,9.317421000000001,844.0
2013,Switzerland,CHE,Säntis,47.256459,9.317421000000001,773.0
2014,Switzerland,CHE,Säntis,47.256459,9.317421000000001,627.0
2015,Switzerland,CHE,Säntis,47.256459,9.317421000000001,648.0
2016,Switzerland,CHE,Säntis,47.256459,9.317421000000001,745.0
2017,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1128.0
2018,Switzerland,CHE,Säntis,47.256459,9.317421000000001,674.0
2019,Switzerland,CHE,Säntis,47.256459,9.317421000000001,1283.0
1931,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1932,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1933,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1934,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1935,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1936,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1937,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1938,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1939,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1940,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1941,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1942,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1943,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1944,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1945,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1946,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1947,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1948,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1949,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1950,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1951,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1952,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1953,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1954,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1955,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1956,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1957,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1958,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1959,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1960,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1961,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1962,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1963,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1964,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1965,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1966,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1967,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1968,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1969,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1970,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1971,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1972,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1973,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1974,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1975,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1976,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1977,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1978,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1979,Switzerland,CHE,Samedan,46.438365000000005,9.870266,
1980,Switzerland,CHE,Samedan,46.438365000000005,9.870266,257.0
1981,Switzerland,CHE,Samedan,46.438365000000005,9.870266,451.0
1982,Switzerland,CHE,Samedan,46.438365000000005,9.870266,256.0
1983,Switzerland,CHE,Samedan,46.438365000000005,9.870266,326.0
1984,Switzerland,CHE,Samedan,46.438365000000005,9.870266,311.0
1985,Switzerland,CHE,Samedan,46.438365000000005,9.870266,298.0
1986,Switzerland,CHE,Samedan,46.438365000000005,9.870266,284.0
1987,Switzerland,CHE,Samedan,46.438365000000005,9.870266,198.0
1988,Switzerland,CHE,Samedan,46.438365000000005,9.870266,189.0
1989,Switzerland,CHE,Samedan,46.438365000000005,9.870266,191.0
1990,Switzerland,CHE,Samedan,46.438365000000005,9.870266,278.0
1991,Switzerland,CHE,Samedan,46.438365000000005,9.870266,258.0
1992,Switzerland,CHE,Samedan,46.438365000000005,9.870266,189.0
1993,Switzerland,CHE,Samedan,46.438365000000005,9.870266,129.0
1994,Switzerland,CHE,Samedan,46.438365000000005,9.870266,160.0
1995,Switzerland,CHE,Samedan,46.438365000000005,9.870266,232.0
1996,Switzerland,CHE,Samedan,46.438365000000005,9.870266,258.0
1997,Switzerland,CHE,Samedan,46.438365000000005,9.870266,277.0
1998,Switzerland,CHE,Samedan,46.438365000000005,9.870266,141.0
1999,Switzerland,CHE,Samedan,46.438365000000005,9.870266,353.0
2000,Switzerland,CHE,Samedan,46.438365000000005,9.870266,296.0
2001,Switzerland,CHE,Samedan,46.438365000000005,9.870266,392.0
2002,Switzerland,CHE,Samedan,46.438365000000005,9.870266,259.0
2003,Switzerland,CHE,Samedan,46.438365000000005,9.870266,186.0
2004,Switzerland,CHE,Samedan,46.438365000000005,9.870266,246.0
2005,Switzerland,CHE,Samedan,46.438365000000005,9.870266,149.0
2006,Switzerland,CHE,Samedan,46.438365000000005,9.870266,126.0
2007,Switzerland,CHE,Samedan,46.438365000000005,9.870266,241.0
2008,Switzerland,CHE,Samedan,46.438365000000005,9.870266,368.0
2009,Switzerland,CHE,Samedan,46.438365000000005,9.870266,338.0
2010,Switzerland,CHE,Samedan,46.438365000000005,9.870266,240.0
2011,Switzerland,CHE,Samedan,46.438365000000005,9.870266,198.0
2012,Switzerland,CHE,Samedan,46.438365000000005,9.870266,315.0
2013,Switzerland,CHE,Samedan,46.438365000000005,9.870266,298.0
2014,Switzerland,CHE,Samedan,46.438365000000005,9.870266,403.0
2015,Switzerland,CHE,Samedan,46.438365000000005,9.870266,153.0
2016,Switzerland,CHE,Samedan,46.438365000000005,9.870266,213.0
2017,Switzerland,CHE,Samedan,46.438365000000005,9.870266,244.0
2018,Switzerland,CHE,Samedan,46.438365000000005,9.870266,320.0
2019,Switzerland,CHE,Samedan,46.438365000000005,9.870266,393.0
1931,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1932,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1933,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1934,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1935,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1936,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1937,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1938,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1939,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1940,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1941,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1942,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1943,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1944,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1945,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1946,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1947,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1948,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1949,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1950,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1951,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1952,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1953,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1954,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1955,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1956,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1957,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1958,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1959,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1960,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1961,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1962,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1963,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1964,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1965,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1966,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1967,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1968,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1969,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1970,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1971,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1972,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1973,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1974,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1975,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1976,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1977,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,
1978,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,75.0
1979,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,52.0
1980,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,77.0
1981,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,121.0
1982,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,22.0
1983,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,55.0
1984,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,81.0
1985,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,68.0
1986,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,100.0
1987,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,28.0
1988,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,10.0
1989,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,14.0
1990,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,37.0
1991,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,48.0
1992,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,23.0
1993,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,16.0
1994,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,6.0
1995,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,34.0
1996,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,113.0
1997,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,0.0
1998,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,27.0
1999,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,139.0
2000,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
2001,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,33.0
2002,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,2.0
2003,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,9.0
2004,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,45.0
2005,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,75.0
2006,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,28.0
2007,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,4.0
2008,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,80.0
2009,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,58.0
2010,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,48.0
2011,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,55.0
2012,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,115.0
2013,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,32.0
2014,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,37.0
2015,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,41.0
2016,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,36.0
2017,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,89.0
2018,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,30.0
2019,Switzerland,CHE,Sitten,46.2276,7.3599429999999995,39.0
1931,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1932,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1933,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1934,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1935,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1936,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1937,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,
1938,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,204.0
1939,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,208.0
1940,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,234.0
1941,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,255.0
1942,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,241.0
1943,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,117.0
1944,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,323.0
1945,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,255.0
1946,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,106.0
1947,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,222.0
1948,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,52.0
1949,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,143.0
1950,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,143.0
1951,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,111.0
1952,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,259.0
1953,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,142.0
1954,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,157.0
1955,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,180.0
1956,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,214.0
1957,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,87.0
1958,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,253.0
1959,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,94.0
1960,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,113.0
1961,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,76.0
1962,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,271.0
1963,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,226.0
1964,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,238.0
1965,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,313.0
1966,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,271.0
1967,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,181.0
1968,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,340.0
1969,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,283.0
1970,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,333.0
1971,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,142.0
1972,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,59.0
1973,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,252.0
1974,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,132.0
1975,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,144.0
1976,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,213.0
1977,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,215.0
1978,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,222.0
1979,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,218.0
1980,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,200.0
1981,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,287.0
1982,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,187.0
1983,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,222.0
1984,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,257.0
1985,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,267.0
1986,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,312.0
1987,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,210.0
1988,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,295.0
1989,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,31.0
1990,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,134.0
1991,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,155.0
1992,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,89.0
1993,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,139.0
1994,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,125.0
1995,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,274.0
1996,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,213.0
1997,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,60.0
1998,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,135.0
1999,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,436.0
2000,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,83.0
2001,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,177.0
2002,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,36.0
2003,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,187.0
2004,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,291.0
2005,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,264.0
2006,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,173.0
2007,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,159.0
2008,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,159.0
2009,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,241.0
2010,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,303.0
2011,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,102.0
2012,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,291.0
2013,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,277.0
2014,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,134.0
2015,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,130.0
2016,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,128.0
2017,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,188.0
2018,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,60.0
2019,Switzerland,CHE,St. Gallen,47.424479999999996,9.376717,225.0
1931,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,181.0
1932,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,63.0
1933,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,52.0
1934,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,42.0
1935,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,112.0
1936,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,25.0
1937,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,35.0
1938,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,110.0
1939,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,99.0
1940,Switzerland,CHE,Zürich-Fluntern,47.382096999999995,8.566803,118.0
