Year,Country,alpha_3,Region,Latitude,Longitude,Jahrestemperatur
2012,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.9
2013,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.3
2014,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,11.9
2015,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,11.7
2016,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,10.9
2017,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,11.4
2018,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,12.2
2019,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,11.6
1931,Switzerland,CHE,Davos,46.802746,9.83597,1.7
1932,Switzerland,CHE,Davos,46.802746,9.83597,2.3
1933,Switzerland,CHE,Davos,46.802746,9.83597,1.8
1934,Switzerland,CHE,Davos,46.802746,9.83597,3.3
1935,Switzerland,CHE,Davos,46.802746,9.83597,1.8
1936,Switzerland,CHE,Davos,46.802746,9.83597,2.4
1937,Switzerland,CHE,Davos,46.802746,9.83597,2.5
1938,Switzerland,CHE,Davos,46.802746,9.83597,2.3
1939,Switzerland,CHE,Davos,46.802746,9.83597,2.2
1940,Switzerland,CHE,Davos,46.802746,9.83597,1.4
1941,Switzerland,CHE,Davos,46.802746,9.83597,1.7
1942,Switzerland,CHE,Davos,46.802746,9.83597,2.4
1943,Switzerland,CHE,Davos,46.802746,9.83597,3.1
1944,Switzerland,CHE,Davos,46.802746,9.83597,1.7
1945,Switzerland,CHE,Davos,46.802746,9.83597,2.5
1946,Switzerland,CHE,Davos,46.802746,9.83597,3.0
1947,Switzerland,CHE,Davos,46.802746,9.83597,3.6
1948,Switzerland,CHE,Davos,46.802746,9.83597,3.2
1949,Switzerland,CHE,Davos,46.802746,9.83597,3.2
1950,Switzerland,CHE,Davos,46.802746,9.83597,2.8
1951,Switzerland,CHE,Davos,46.802746,9.83597,2.9
1952,Switzerland,CHE,Davos,46.802746,9.83597,2.2
1953,Switzerland,CHE,Davos,46.802746,9.83597,2.7
1954,Switzerland,CHE,Davos,46.802746,9.83597,1.9
1955,Switzerland,CHE,Davos,46.802746,9.83597,2.0
1956,Switzerland,CHE,Davos,46.802746,9.83597,0.9
1957,Switzerland,CHE,Davos,46.802746,9.83597,3.0
1958,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1959,Switzerland,CHE,Davos,46.802746,9.83597,3.2
1960,Switzerland,CHE,Davos,46.802746,9.83597,2.8
1961,Switzerland,CHE,Davos,46.802746,9.83597,3.7
1962,Switzerland,CHE,Davos,46.802746,9.83597,1.6
1963,Switzerland,CHE,Davos,46.802746,9.83597,1.9
1964,Switzerland,CHE,Davos,46.802746,9.83597,3.1
1965,Switzerland,CHE,Davos,46.802746,9.83597,1.8
1966,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1967,Switzerland,CHE,Davos,46.802746,9.83597,2.7
1968,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1969,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1970,Switzerland,CHE,Davos,46.802746,9.83597,2.3
1971,Switzerland,CHE,Davos,46.802746,9.83597,3.1
1972,Switzerland,CHE,Davos,46.802746,9.83597,2.9
1973,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1974,Switzerland,CHE,Davos,46.802746,9.83597,2.7
1975,Switzerland,CHE,Davos,46.802746,9.83597,3.1
1976,Switzerland,CHE,Davos,46.802746,9.83597,2.7
1977,Switzerland,CHE,Davos,46.802746,9.83597,3.2
1978,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1979,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1980,Switzerland,CHE,Davos,46.802746,9.83597,2.1
1981,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1982,Switzerland,CHE,Davos,46.802746,9.83597,3.3
1983,Switzerland,CHE,Davos,46.802746,9.83597,3.4
1984,Switzerland,CHE,Davos,46.802746,9.83597,2.3
1985,Switzerland,CHE,Davos,46.802746,9.83597,2.6
1986,Switzerland,CHE,Davos,46.802746,9.83597,3.1
1987,Switzerland,CHE,Davos,46.802746,9.83597,3.0
1988,Switzerland,CHE,Davos,46.802746,9.83597,3.5
1989,Switzerland,CHE,Davos,46.802746,9.83597,4.2
1990,Switzerland,CHE,Davos,46.802746,9.83597,3.8
1991,Switzerland,CHE,Davos,46.802746,9.83597,3.2
1992,Switzerland,CHE,Davos,46.802746,9.83597,3.8
1993,Switzerland,CHE,Davos,46.802746,9.83597,3.4
1994,Switzerland,CHE,Davos,46.802746,9.83597,4.6
1995,Switzerland,CHE,Davos,46.802746,9.83597,3.2
1996,Switzerland,CHE,Davos,46.802746,9.83597,3.1
1997,Switzerland,CHE,Davos,46.802746,9.83597,4.1
1998,Switzerland,CHE,Davos,46.802746,9.83597,3.5
1999,Switzerland,CHE,Davos,46.802746,9.83597,3.5
2000,Switzerland,CHE,Davos,46.802746,9.83597,4.1
2001,Switzerland,CHE,Davos,46.802746,9.83597,3.5
2002,Switzerland,CHE,Davos,46.802746,9.83597,4.3
2003,Switzerland,CHE,Davos,46.802746,9.83597,4.3
2004,Switzerland,CHE,Davos,46.802746,9.83597,3.5
2005,Switzerland,CHE,Davos,46.802746,9.83597,3.0
2006,Switzerland,CHE,Davos,46.802746,9.83597,4.2
2007,Switzerland,CHE,Davos,46.802746,9.83597,4.1
2008,Switzerland,CHE,Davos,46.802746,9.83597,3.8
2009,Switzerland,CHE,Davos,46.802746,9.83597,3.8
2010,Switzerland,CHE,Davos,46.802746,9.83597,2.7
2011,Switzerland,CHE,Davos,46.802746,9.83597,4.7
2012,Switzerland,CHE,Davos,46.802746,9.83597,3.9
2013,Switzerland,CHE,Davos,46.802746,9.83597,3.6
2014,Switzerland,CHE,Davos,46.802746,9.83597,4.8
2015,Switzerland,CHE,Davos,46.802746,9.83597,4.8
2016,Switzerland,CHE,Davos,46.802746,9.83597,4.4
2017,Switzerland,CHE,Davos,46.802746,9.83597,4.2
2018,Switzerland,CHE,Davos,46.802746,9.83597,5.0
2019,Switzerland,CHE,Davos,46.802746,9.83597,4.5
1931,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.0
1932,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.2
1933,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.0
1934,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.0
1935,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.6
1936,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.6
1937,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.0
1938,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.4
1939,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.1
1940,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,8.7
1941,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,8.8
1942,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.3
1943,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.4
1944,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.6
1945,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.3
1946,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.0
1947,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.9
1948,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.1
1949,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.6
1950,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.4
1951,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.6
1952,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.9
1953,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.7
1954,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.4
1955,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.7
1956,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,8.5
1957,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.5
1958,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.6
1959,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.2
1960,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.7
1961,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,10.6
1962,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,9.1
1963,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,8.5
