Year,Country,alpha_3,Region,Latitude,Longitude,Jahresniederschlag
2011,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,687.9
2012,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,1047.9
2013,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,907.7
2014,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,868.5
2015,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,645.3
2016,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,996.8
2017,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,765.2
2018,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,697.6
2019,Switzerland,CHE,Basel-Binningen,47.53796,7.571110000000001,785.8
1931,Switzerland,CHE,Davos,46.802746,9.83597,1077.3
1932,Switzerland,CHE,Davos,46.802746,9.83597,839.1
1933,Switzerland,CHE,Davos,46.802746,9.83597,928.1
1934,Switzerland,CHE,Davos,46.802746,9.83597,946.1
1935,Switzerland,CHE,Davos,46.802746,9.83597,1272.5
1936,Switzerland,CHE,Davos,46.802746,9.83597,972.2
1937,Switzerland,CHE,Davos,46.802746,9.83597,995.9
1938,Switzerland,CHE,Davos,46.802746,9.83597,860.6
1939,Switzerland,CHE,Davos,46.802746,9.83597,1109.2
1940,Switzerland,CHE,Davos,46.802746,9.83597,1041.1
1941,Switzerland,CHE,Davos,46.802746,9.83597,819.5
1942,Switzerland,CHE,Davos,46.802746,9.83597,870.2
1943,Switzerland,CHE,Davos,46.802746,9.83597,864.2
1944,Switzerland,CHE,Davos,46.802746,9.83597,1104.4
1945,Switzerland,CHE,Davos,46.802746,9.83597,968.8
1946,Switzerland,CHE,Davos,46.802746,9.83597,929.0
1947,Switzerland,CHE,Davos,46.802746,9.83597,983.6
1948,Switzerland,CHE,Davos,46.802746,9.83597,1018.4
1949,Switzerland,CHE,Davos,46.802746,9.83597,833.3
1950,Switzerland,CHE,Davos,46.802746,9.83597,1043.9
1951,Switzerland,CHE,Davos,46.802746,9.83597,1049.1
1952,Switzerland,CHE,Davos,46.802746,9.83597,1127.2
1953,Switzerland,CHE,Davos,46.802746,9.83597,744.6
1954,Switzerland,CHE,Davos,46.802746,9.83597,1303.1
1955,Switzerland,CHE,Davos,46.802746,9.83597,888.1
1956,Switzerland,CHE,Davos,46.802746,9.83597,944.7
1957,Switzerland,CHE,Davos,46.802746,9.83597,884.4
1958,Switzerland,CHE,Davos,46.802746,9.83597,1092.5
1959,Switzerland,CHE,Davos,46.802746,9.83597,649.4
1960,Switzerland,CHE,Davos,46.802746,9.83597,1136.3
1961,Switzerland,CHE,Davos,46.802746,9.83597,791.9
1962,Switzerland,CHE,Davos,46.802746,9.83597,885.4
1963,Switzerland,CHE,Davos,46.802746,9.83597,883.9
1964,Switzerland,CHE,Davos,46.802746,9.83597,805.3
1965,Switzerland,CHE,Davos,46.802746,9.83597,1169.8
1966,Switzerland,CHE,Davos,46.802746,9.83597,1114.1
1967,Switzerland,CHE,Davos,46.802746,9.83597,1000.0
1968,Switzerland,CHE,Davos,46.802746,9.83597,1056.0
1969,Switzerland,CHE,Davos,46.802746,9.83597,874.1
1970,Switzerland,CHE,Davos,46.802746,9.83597,1238.2
1971,Switzerland,CHE,Davos,46.802746,9.83597,703.3
1972,Switzerland,CHE,Davos,46.802746,9.83597,779.5
1973,Switzerland,CHE,Davos,46.802746,9.83597,1024.2
1974,Switzerland,CHE,Davos,46.802746,9.83597,1122.9
1975,Switzerland,CHE,Davos,46.802746,9.83597,898.4
1976,Switzerland,CHE,Davos,46.802746,9.83597,1027.2
1977,Switzerland,CHE,Davos,46.802746,9.83597,1040.2
1978,Switzerland,CHE,Davos,46.802746,9.83597,1032.0
1979,Switzerland,CHE,Davos,46.802746,9.83597,1320.0
1980,Switzerland,CHE,Davos,46.802746,9.83597,1022.8
1981,Switzerland,CHE,Davos,46.802746,9.83597,1227.4
1982,Switzerland,CHE,Davos,46.802746,9.83597,1014.8
1983,Switzerland,CHE,Davos,46.802746,9.83597,1086.1
1984,Switzerland,CHE,Davos,46.802746,9.83597,915.3
1985,Switzerland,CHE,Davos,46.802746,9.83597,913.9
1986,Switzerland,CHE,Davos,46.802746,9.83597,993.4
1987,Switzerland,CHE,Davos,46.802746,9.83597,1171.8
1988,Switzerland,CHE,Davos,46.802746,9.83597,1102.2
1989,Switzerland,CHE,Davos,46.802746,9.83597,723.2
1990,Switzerland,CHE,Davos,46.802746,9.83597,1022.3
1991,Switzerland,CHE,Davos,46.802746,9.83597,843.4
1992,Switzerland,CHE,Davos,46.802746,9.83597,975.7
1993,Switzerland,CHE,Davos,46.802746,9.83597,1002.9
1994,Switzerland,CHE,Davos,46.802746,9.83597,1077.8
1995,Switzerland,CHE,Davos,46.802746,9.83597,1102.5
1996,Switzerland,CHE,Davos,46.802746,9.83597,995.4
1997,Switzerland,CHE,Davos,46.802746,9.83597,959.2
1998,Switzerland,CHE,Davos,46.802746,9.83597,933.7
1999,Switzerland,CHE,Davos,46.802746,9.83597,1369.7
2000,Switzerland,CHE,Davos,46.802746,9.83597,1189.8
2001,Switzerland,CHE,Davos,46.802746,9.83597,1268.2
2002,Switzerland,CHE,Davos,46.802746,9.83597,1227.5
2003,Switzerland,CHE,Davos,46.802746,9.83597,848.7
2004,Switzerland,CHE,Davos,46.802746,9.83597,881.1
2005,Switzerland,CHE,Davos,46.802746,9.83597,922.9
2006,Switzerland,CHE,Davos,46.802746,9.83597,788.5
2007,Switzerland,CHE,Davos,46.802746,9.83597,1005.0
2008,Switzerland,CHE,Davos,46.802746,9.83597,1163.7
2009,Switzerland,CHE,Davos,46.802746,9.83597,928.6
2010,Switzerland,CHE,Davos,46.802746,9.83597,1003.4
2011,Switzerland,CHE,Davos,46.802746,9.83597,1070.3
2012,Switzerland,CHE,Davos,46.802746,9.83597,1232.3
2013,Switzerland,CHE,Davos,46.802746,9.83597,923.8
2014,Switzerland,CHE,Davos,46.802746,9.83597,1021.6
2015,Switzerland,CHE,Davos,46.802746,9.83597,866.0
2016,Switzerland,CHE,Davos,46.802746,9.83597,1153.0
2017,Switzerland,CHE,Davos,46.802746,9.83597,1193.1
2018,Switzerland,CHE,Davos,46.802746,9.83597,1082.8
2019,Switzerland,CHE,Davos,46.802746,9.83597,1314.1
1931,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,919.7
1932,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,918.0
1933,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,863.6
1934,Switzerland,CHE,Genf-Cointrin,46.22783,6.10424,740.3
